RESPID;interview_end;gender;age;age_coded;DK_region;Agenda;b1 - Hvilket problem mener du er det vigtigste, som Danmark står overfor lige nu?;b2a - Hvilken regering er bedst til at sikre en fornuftig flygtninge/indvandrerpolitik?;b2b - Hvilken regering er bedst til at varetage økonomien, eksempelvis vækst og arbejdspladser?;b2c - Hvilken regering er bedst til at levere velfærden, eksempelvis sundhed, uddannelse og ældrepleje?;bg5 - Hvilket parti stemte du på, ved Folketingsvalget den 15. september 2011?;bg6 - Hvilket parti ville du stemme på, hvis der var Folketingsvalg i morgen?;bg7 - Hvilket parti hælder du mest til at stemme på?;bg8 - Hvad er din højest afsluttede uddannelse?;bg9 - Hvor mange børn under 18 år er der din husstand?;bg10 - Hvad er husstandens samlede årlige bruttoindkomst?;PI_idag_prob - Stemme i morgen (bg6+bg7);Weight;redprediction;blueprediction;swingprediction;latedecprediction
743;20150316;Kvinde;52;50-59 år;Syddanmark;506;Få de unge igang med uddannelse og i job;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;700.000-799.999 kr.;Venstre;1,3998661992;0.410362917051002;0.322176173487903;0.273298845774371;0.336226481192232
744;20150313;Mand;60;60-69 år;Syddanmark;900;flygtninge;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Grundskole;Ingen;500.000-599.999 kr.;Venstre;0,8557189856;0.345961638760115;0.362372676865024;0.27310338407045;0.354037452424042
746;20150313;Mand;23;18-29 år;Hovedstaden;1808;fastkurs politikken overfor EUR/DKK;Venstre ledet regering;Venstre ledet regering;Ved ikke;Stemte ikke;(V) Venstre;;Kort videregående 1-2 år;Ingen;300.000-399.999 kr.;Venstre;0,933783022;0.181356912012315;0.5426792803672;0.272764973388125;0.361356450501236
749;20150313;Kvinde;72;70++ år;Sjælland;900;Indvandring og  kriminalitet;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;400.000-499.999 kr.;Dansk Folkeparti;1,2749550901;0.308143254571559;0.398986669110787;0.272740844618347;0.288277316798767
751;20150313;Mand;44;40-49 år;Midtjylland;100;Krisen som endnu ikke er ovre;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;4 børn ++;600.000-699.999 kr.;Venstre;1,1976336146;0.341345481748062;0.38237891432367;0.272718497269959;0.292037713104856
752;20150313;Mand;50;50-59 år;Midtjylland;100;økonomi;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(B) Radikale Venstre;(V) Venstre;;Grundskole;Ingen;200.000-299.999 kr.;Venstre;1,6176167010;0.584309693550448;0.171192396377053;0.27252678226711;0.390839799806322
753;20150314;Kvinde;53;50-59 år;Midtjylland;100;Vækst i erhvervlivet;Venstre ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;(V) Venstre;Vil ikke stemme;(V) Venstre;Grundskole;Ingen;500.000-599.999 kr.;Venstre;1,9549147854;0.481017554220018;0.249307461740195;0.271968379159417;0.392145769097127
754;20150315;Kvinde;41;40-49 år;Hovedstaden;1302;Uligehed;Ved ikke;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Husker ikke;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;2 børn;600.000-699.999 kr.;Socialdemokraterne;1,2465543624;0.422849266700586;0.303841888934157;0.271591293519946;0.351026665079588
755;20150314;Kvinde;64;60-69 år;Syddanmark;2002;For meget bureakrati;Venstre ledet regering;Venstre ledet regering;Ved ikke;(A) Socialdemokraterne;(O) Dansk Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;400.000-499.999 kr.;Dansk Folkeparti;0,5343770072;0.412673576176092;0.309384166885119;0.271546571416317;0.458469516587589
760;20150316;Mand;23;18-29 år;Hovedstaden;2099;De danske politikere tænker kortsigtet, når de burde tænke langsigtet.;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(I) Liberal Alliance;(I) Liberal Alliance;;Gymnasie, HF eller lignende;Ingen;200.000-299.999 kr.;Liberal Alliance (tidligere Ny Alliance);1,9534136528;0.411732321931001;0.280259155225951;0.271544045149882;0.377058884536032
761;20150313;Kvinde;41;40-49 år;Syddanmark;900;flygtninge og muslimer;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(O) Dansk Folkeparti;(V) Venstre;;Kort videregående 1-2 år;Ingen;100.000-199.999 kr.;Venstre;0,5077434916;0.536500023067976;0.212141036380635;0.270946760090167;0.303938596218727
764;20150313;Kvinde;67;60-69 år;Syddanmark;900;flygtningebelastningen;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;400.000-499.999 kr.;Venstre;0,8108483927;0.37778402987414;0.337949430596767;0.270888963766692;0.37367014861014
765;20150313;Mand;42;40-49 år;Midtjylland;900;Indvandring og medføgende kriminalitet;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;2 børn;500.000-599.999 kr.;Venstre;1,1976336146;0.319154373110585;0.405431094444726;0.270886896966141;0.245435092195477
767;20150313;Mand;71;70++ år;Syddanmark;100;Økonomien;Venstre ledet regering;Venstre ledet regering;Ved ikke;(V) Venstre;(V) Venstre;;Grundskole;Ingen;500.000-599.999 kr.;Venstre;1,4915651660;0.236435752444131;0.478417971426715;0.270688387762554;0.378030826257271
768;20150313;Mand;63;60-69 år;Syddanmark;505;billig arbejdskraft fra øst europa;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Grundskole;Ingen;500.000-599.999 kr.;Socialdemokraterne;0,6099761349;0.322346330855945;0.38660011825017;0.270674817829114;0.330835914188642
770;20150313;Kvinde;39;30-39 år;Hovedstaden;1300;Velfærden der daler;Venstre ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;Ved ikke;Vil ikke svare;Erhvervsfaglig, EFG, HTX eller lignende;2 børn;500.000-599.999 kr.;;1,7501819857;0.393797123874529;0.327625983494818;0.270645983200718;0.431169439292326
771;20150313;Kvinde;39;30-39 år;Syddanmark;1300;Bevare velfærdssystemet;Venstre ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;Ved ikke;(O) Dansk Folkeparti;Erhvervsfaglig, EFG, HTX eller lignende;2 børn;500.000-599.999 kr.;Dansk Folkeparti;1,2419267063;0.393797123874529;0.327625983494818;0.270645983200718;0.399972738075903
785;20150313;Mand;65;60-69 år;Syddanmark;900;intragition;Venstre ledet regering;Venstre ledet regering;Ved ikke;(V) Venstre;(V) Venstre;;Grundskole;Ingen;500.000-599.999 kr.;Venstre;0,8557189856;0.303559855391001;0.405797737999878;0.269796616520488;0.337436094691167
787;20150313;Mand;66;60-69 år;Nordjylland;505;Social dumping;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Grundskole;Ingen;500.000-599.999 kr.;Socialdemokraterne;0,6880673531;0.293367780793819;0.416332603809662;0.269578193057481;0.424973686016789
788;20150313;Mand;23;18-29 år;Midtjylland;100;Dårlig økonomi (for højt skattetryk, for mange reguleringer, for megen bureaukrati, ringe incitament til at arbejde, o.lign.).;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(I) Liberal Alliance;(I) Liberal Alliance;;Mellemlang videregående 3-4 år;Ingen;Under 100.000 kr.;Liberal Alliance (tidligere Ny Alliance);1,0314050353;0.236636212052035;0.434868292169607;0.269473934586426;0.412012016203363
792;20150313;Mand;45;40-49 år;Hovedstaden;300;Sundhed;Socialdemokratisk ledet regering;Ved ikke;Socialdemokratisk ledet regering;Husker ikke;Ved ikke;(A) Socialdemokraterne;Erhvervsfaglig, EFG, HTX eller lignende;4 børn ++;600.000-699.999 kr.;Socialdemokraterne;1,0314755278;0.346102983069717;0.381456803795195;0.269407897825216;0.592864869092927
793;20150315;Mand;68;60-69 år;Sjælland;507;Folk der ryger ud af dagpenge systemet..;Ved ikke;Venstre ledet regering;Ved ikke;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;700.000-799.999 kr.;Dansk Folkeparti;0,6052449504;0.217822900319366;0.532116907544426;0.268777861940568;0.524599056784522
794;20150313;Kvinde;47;40-49 år;Midtjylland;1227;terro samt indvandre contra arbejsløshed;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(Ø) Enhedslisten;(Ø) Enhedslisten;;Grundskole;2 børn;200.000-299.999 kr.;Enhedslisten;1,3630822357;0.678417874473316;0.122662429344615;0.26875628998686;0.478429208039446
797;20150313;Kvinde;47;40-49 år;Syddanmark;1303;ældreomsorg og sygehus rengøring;Ved ikke;Ved ikke;Ved ikke;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Grundskole;Ingen;200.000-299.999 kr.;Dansk Folkeparti;1,1110422505;0.678417874473316;0.122662429344615;0.26875628998686;0.441957933813143
800;20150313;Mand;38;30-39 år;Midtjylland;700;miljø;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(Ø) Enhedslisten;(Ø) Enhedslisten;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;200.000-299.999 kr.;Enhedslisten;1,2607675702;0.484393532932121;0.242197142339598;0.268563487170466;0.284005384924539
801;20150316;Kvinde;55;50-59 år;Nordjylland;2099;hvis vi får en venstre ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Grundskole;Ingen;500.000-599.999 kr.;Socialdemokraterne;1,4355893096;0.475791152882636;0.255933251169915;0.26815314631441;0.254848234628305
808;20150313;Kvinde;42;40-49 år;Syddanmark;103;Manglende arbejdspladser;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;1 barn;600.000-699.999 kr.;Socialdemokraterne;0,9422386623;0.430446443843507;0.301587319623206;0.267850769309495;0.409775411529317
811;20150314;Mand;52;50-59 år;Nordjylland;207;At der er et stigende antal radikaliserede islamister i landet.;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(A) Socialdemokraterne;(O) Dansk Folkeparti;;Grundskole;Ingen;200.000-299.999 kr.;Dansk Folkeparti;1,0982577711;0.584064263852208;0.174271059989803;0.267829076783883;0.276081535687478
813;20150313;Mand;22;18-29 år;Midtjylland;1;Højreorienteringen i integrationspolitikken;Socialdemokratisk ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;(V) Venstre;(B) Radikale Venstre;;Gymnasie, HF eller lignende;Ingen;300.000-399.999 kr.;Radikale Venstre;2,4304869751;0.265084119511462;0.440108689386479;0.267669019301434;0.275179639586995
815;20150313;Mand;48;40-49 år;Sjælland;.;ved ikke;Ved ikke;Ved ikke;Ved ikke;Stemte ikke;Vil ikke stemme;Vil ikke svare;Grundskole;1 barn;300.000-399.999 kr.;;1,2029900918;0.440161865897698;0.280729563355807;0.267398776663563;0.377503047578439
819;20150313;Mand;43;40-49 år;Syddanmark;300;syghusvæsent, arbejdspladser forsvinder til udlandet, vi er ikke konkurrencedygtige nok;Venstre ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;(V) Venstre;(V) Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;2 børn;500.000-599.999 kr.;Venstre;1,0937708612;0.325211117959033;0.403402320377046;0.267298410463439;0.59017115280063
823;20150314;Kvinde;36;30-39 år;Hovedstaden;103;arbejdsløshed;Ved ikke;Ved ikke;Ved ikke;Husker ikke;Ved ikke;Ved ikke;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;200.000-299.999 kr.;;1,7501819857;0.568309915681051;0.186356766421278;0.265482820134071;0.418143939782477
827;20150313;Mand;24;18-29 år;Midtjylland;100;Økonomi, klima;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Gymnasie, HF eller lignende;Ingen;200.000-299.999 kr.;Socialdemokraterne;1,1643291151;0.433902288004277;0.270022741605684;0.265182428288188;0.25995678250852
828;20150313;Kvinde;34;30-39 år;Sjælland;.;der er flere;Venstre ledet regering;Ved ikke;Ved ikke;Havde ikke stemmeret;(Ø) Enhedslisten;;Erhvervsfaglig, EFG, HTX eller lignende;2 børn;300.000-399.999 kr.;Enhedslisten;1,9046966164;0.401537122046128;0.315555684590331;0.26447812235368;0.285095562827026
829;20150313;Kvinde;43;40-49 år;Hovedstaden;.;ved ikke;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;600.000-699.999 kr.;Socialdemokraterne;1,2465543624;0.43725881630282;0.299816149660552;0.264287923991597;0.204965804877204
832;20150313;Kvinde;43;40-49 år;Hovedstaden;201;racisme;Socialdemokratisk ledet regering;Ved ikke;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;600.000-699.999 kr.;Socialdemokraterne;1,2465543624;0.43725881630282;0.299816149660552;0.264287923991597;0.38073998475232
835;20150313;Mand;54;50-59 år;Nordjylland;1300;Velfærssystemet;Venstre ledet regering;Ved ikke;Ved ikke;(A) Socialdemokraterne;(O) Dansk Folkeparti;;Grundskole;Ingen;200.000-299.999 kr.;Dansk Folkeparti;1,0982577711;0.580586189027585;0.178715254181491;0.263761380871851;0.313546186242296
840;20150313;Mand;54;50-59 år;Sjælland;.;ved ikke;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Grundskole;Ingen;200.000-299.999 kr.;Socialdemokraterne;1,4414370841;0.580586189027585;0.178715254181491;0.263761380871851;0.410062319258128
843;20150314;Mand;30;30-39 år;Syddanmark;700;Miljø;Ved ikke;Ved ikke;Ved ikke;Stemte ikke;Vil ikke stemme;Ved ikke;Mellemlang videregående 3-4 år;Ingen;400.000-499.999 kr.;;0,5088001031;0.397393991731267;0.29507393405308;0.26314691055148;0.595536432431239
847;20150313;Mand;24;18-29 år;Syddanmark;200;Indskrækning af frihed;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(I) Liberal Alliance;(I) Liberal Alliance;;Mellemlang videregående 3-4 år;Ingen;Under 100.000 kr.;Liberal Alliance (tidligere Ny Alliance);0,9419595597;0.253439901498893;0.422298150043706;0.263143296363976;0.200051953294565
852;20150315;Mand;65;60-69 år;Syddanmark;1303;Behandlingen af ældre;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(I) Liberal Alliance;(A) Socialdemokraterne;;Anden uddannelse;Ingen;100.000-199.999 kr.;Socialdemokraterne;0,4268768387;0.387332868522678;0.333308381440408;0.262982707624435;0.372614163294922
853;20150313;Mand;37;30-39 år;Syddanmark;900;integration;Ved ikke;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;300.000-399.999 kr.;Socialdemokraterne;1,1115198076;0.337264142744483;0.384121619199771;0.262545978988618;0.437076298604516
854;20150313;Mand;37;30-39 år;Midtjylland;100;ØKONOMIEN;Venstre ledet regering;Ved ikke;Socialdemokratisk ledet regering;(V) Venstre;(V) Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;2 børn;300.000-399.999 kr.;Venstre;1,7073918188;0.337264142744483;0.384121619199771;0.262545978988618;0.361356450501236
856;20150314;Kvinde;21;18-29 år;Nordjylland;103;Arbejdsløshed;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(A) Socialdemokraterne;(V) Venstre;;Gymnasie, HF eller lignende;Ingen;300.000-399.999 kr.;Venstre;2,0336048915;0.334524315924683;0.363605621423435;0.262499753347088;0.359545087242208
859;20150313;Mand;79;70++ år;Syddanmark;1302;Uligheden mellem borgerne;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Ved ikke;(A) Socialdemokraterne;(A) Socialdemokraterne;;Grundskole;Ingen;200.000-299.999 kr.;Socialdemokraterne;1,0632220227;0.273907639616469;0.405966236314003;0.261998347417514;0.606430003181329
861;20150313;Kvinde;60;60-69 år;Syddanmark;103;Arbejdsløshed;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;Ved ikke;(A) Socialdemokraterne;Grundskole;Ingen;500.000-599.999 kr.;Socialdemokraterne;0,7371658257;0.448331192170378;0.280909268406831;0.261273435096067;0.606846212677321
866;20150313;Mand;36;30-39 år;Hovedstaden;1806;vores økonomi i forhold til udlandet;Socialdemokratisk ledet regering;Venstre ledet regering;Ved ikke;Vil ikke svare;Ved ikke;(V) Venstre;Erhvervsfaglig, EFG, HTX eller lignende;3 børn;Vil ikke oplyse;Venstre;2,0629364792;0.234723914363647;0.493808224625455;0.261214547499347;0.332606235221332
867;20150313;Kvinde;50;50-59 år;Syddanmark;900;flygtninge;Ved ikke;Ved ikke;Ved ikke;(O) Dansk Folkeparti;(Ø) Enhedslisten;;Grundskole;Ingen;200.000-299.999 kr.;Enhedslisten;1,3183550772;0.68350208808296;0.124327276168195;0.260712851587578;0.44180062310905
869;20150314;Mand;45;40-49 år;Sjælland;900;flygtninge;Venstre ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;(V) Venstre;(O) Dansk Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;500.000-599.999 kr.;Dansk Folkeparti;0,9866676016;0.335275113597635;0.400980936924685;0.26064317072569;0.308933817037209
881;20150313;Mand;48;40-49 år;Syddanmark;103;Arbejde til dem der er ledige;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(K) Kristendemokraterne;(K) Kristendemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;1 barn;600.000-699.999 kr.;Kristendemokraterne;0,9579696702;0.355975146034444;0.38188889199036;0.260489860495989;0.419927434677162
890;20150313;Mand;40;40-49 år;Syddanmark;1405;Sønderjylland svigtes.;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;200.000-299.999 kr.;Socialdemokraterne;0,7796660771;0.504070288776673;0.236254461670888;0.260450346418937;0.267690957084587
893;20150315;Mand;56;50-59 år;Syddanmark;.;ved ikke;Ved ikke;Ved ikke;Ved ikke;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Grundskole;Ingen;200.000-299.999 kr.;Dansk Folkeparti;0,9736136376;0.573853391554582;0.184603484820453;0.260306974017342;0.260955219735353
898;20150316;Kvinde;61;60-69 år;Nordjylland;103;Arbejd til alle;Venstre ledet regering;Venstre ledet regering;Ved ikke;(V) Venstre;(O) Dansk Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;700.000-799.999 kr.;Dansk Folkeparti;0,6027896593;0.370173721510511;0.369340115285735;0.25955549202266;0.275156782601308
903;20150313;Kvinde;62;60-69 år;Midtjylland;300;sundhed;Venstre ledet regering;Ved ikke;Ved ikke;(A) Socialdemokraterne;(O) Dansk Folkeparti;;Grundskole;Ingen;500.000-599.999 kr.;Dansk Folkeparti;0,7462580492;0.431710837011693;0.294579664312452;0.259554782547249;0.353331982140556
907;20150313;Mand;25;18-29 år;Syddanmark;1405;Ekskluderingen af udkantsdanmark;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(Ø) Enhedslisten;(Ø) Enhedslisten;;Gymnasie, HF eller lignende;Ingen;200.000-299.999 kr.;Enhedslisten;1,1015355548;0.455515820198243;0.260459896630523;0.259059862720064;0.349886231590942
908;20150314;Kvinde;51;50-59 år;Midtjylland;1699;få alle Syrer hjem igen;Venstre ledet regering;Ved ikke;Venstre ledet regering;(F) Socialistisk Folkeparti - SF;(O) Dansk Folkeparti;;Grundskole;Ingen;200.000-299.999 kr.;Dansk Folkeparti;1,2883565584;0.683752115016656;0.125380975140422;0.258352013850193;0.312536079551773
909;20150316;Mand;46;40-49 år;Midtjylland;100;lav økonomisk vækst;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(C) Konservative Folkeparti;(C) Konservative Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;500.000-599.999 kr.;Konservative Folkeparti;1,3147733392;0.33924653700185;0.400585158071919;0.257569721635432;0.462221871879551
911;20150313;Mand;58;50-59 år;Syddanmark;1910;EU;Venstre ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(O) Dansk Folkeparti;;Grundskole;Ingen;200.000-299.999 kr.;Dansk Folkeparti;0,9736136376;0.563827644164415;0.192038378798036;0.257451343266553;0.207973935822409
922;20150316;Kvinde;37;30-39 år;Sjælland;602;folkeskolen;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(C) Konservative Folkeparti;Ved ikke;(V) Venstre;Kort videregående 1-2 år;2 børn;700.000-799.999 kr.;Venstre;0,9908076046;0.368007049812938;0.364683223648652;0.257251591490325;0.403818282554743
924;20150313;Mand;37;30-39 år;Syddanmark;207;ytrings frihed;Venstre ledet regering;Ved ikke;Ved ikke;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;2 børn;Vil ikke oplyse;Dansk Folkeparti;1,0276457517;0.24339479509086;0.488316846963327;0.256854674169218;0.297075796172578
931;20150313;Mand;59;50-59 år;Sjælland;103;arbejsløshed;Venstre ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;Stemme blankt;Ved ikke;Grundskole;Ingen;200.000-299.999 kr.;;1,2247308277;0.557565564794528;0.19637457170054;0.256244161357138;0.333841396142671
936;20150315;Mand;44;40-49 år;Syddanmark;300;At sikre kvaliteten i sundhedsvæsenet;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Kort videregående 1-2 år;Ingen;400.000-499.999 kr.;Venstre;0,4201385285;0.392968694124254;0.343220089132288;0.25606889515169;0.436521387430711
941;20150313;Kvinde;43;40-49 år;Nordjylland;.;-;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;500.000-599.999 kr.;Dansk Folkeparti;0,9826647006;0.42543456082376;0.317305244795856;0.25563148442123;0.377278145171775
948;20150313;Mand;50;50-59 år;Syddanmark;600;Udanelse;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;1 barn;600.000-699.999 kr.;Socialdemokraterne;0,8256888049;0.358795213625732;0.384846707514979;0.255359540194019;0.668750172030876
949;20150316;Kvinde;36;30-39 år;Midtjylland;1200;kriminalitet;Ved ikke;Ved ikke;Ved ikke;Husker ikke;(O) Dansk Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;300.000-399.999 kr.;Dansk Folkeparti;1,3598578591;0.427084218861882;0.304704909501891;0.255310230100905;0.358423959119656
958;20150313;Mand;19;18-29 år;Sjælland;900;Indvandring;Venstre ledet regering;Venstre ledet regering;Ved ikke;Havde ikke stemmeret;(I) Liberal Alliance;;Gymnasie, HF eller lignende;Ingen;1.000.000 kr. eller derover;Liberal Alliance (tidligere Ny Alliance);2,0210574583;0.0873272027202522;0.717004419880229;0.255211783594867;0.372927174772808
959;20150316;Mand;60;60-69 år;Hovedstaden;.;Ingen;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Grundskole;Ingen;200.000-299.999 kr.;Socialdemokraterne;0,8069813989;0.550463125070765;0.20114697867929;0.255182278928504;0.65622210270584
961;20150313;Mand;47;40-49 år;Midtjylland;1300;socialt bedrageri;Venstre ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;1 barn;500.000-599.999 kr.;Dansk Folkeparti;0,7892825142;0.342492141268792;0.400731709576844;0.254661431038356;0.435131174761197
965;20150313;Mand;51;50-59 år;Hovedstaden;900;Indvandring;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(A) Socialdemokraterne;(O) Dansk Folkeparti;;Grundskole;1 barn;Vil ikke oplyse;Dansk Folkeparti;1,2880626403;0.334986626254289;0.379106874744734;0.254158716454162;0.390349975279223
966;20150313;Kvinde;81;70++ år;Syddanmark;103;arbejdsløshed blandt indvandrere.;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(B) Radikale Venstre;(A) Socialdemokraterne;;Grundskole;Ingen;200.000-299.999 kr.;Socialdemokraterne;1,2849205847;0.323184705319765;0.353654408220545;0.254141319310555;0.350173587907469
967;20150313;Kvinde;24;18-29 år;Nordjylland;705;Klima;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(I) Liberal Alliance;(V) Venstre;;Gymnasie, HF eller lignende;Ingen;200.000-299.999 kr.;Venstre;2,0336048915;0.540778007779428;0.202719678680187;0.253575896330234;0.281134117260283
975;20150314;Mand;72;70++ år;Midtjylland;2099;at de fleste af vores politikere er nogle vatnisser;Ved ikke;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Grundskole;Ingen;200.000-299.999 kr.;Dansk Folkeparti;1,0763357858;0.400938715957923;0.300824623147833;0.253506204840645;0.385882864352357
983;20150313;Kvinde;27;18-29 år;Midtjylland;2400;Voksende økonomisk konservatisme;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Havde ikke stemmeret;Har ikke stemmeret;;Gymnasie, HF eller lignende;Ingen;500.000-599.999 kr.;;1,1024187427;0.395737966496599;0.332752019881877;0.253480047933718;0.357745778848349
986;20150313;Kvinde;47;40-49 år;Nordjylland;100;Penge mangel;Venstre ledet regering;Ved ikke;Ved ikke;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Grundskole;Ingen;Vil ikke oplyse;Dansk Folkeparti;1,2532816208;0.430244736328281;0.290441645992161;0.252868705835588;0.451319998635294
993;20150313;Mand;70;70++ år;Nordjylland;103;Der er mange mennesker der bliver fyret !;Ved ikke;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(O) Dansk Folkeparti;(A) Socialdemokraterne;;Grundskole;Ingen;200.000-299.999 kr.;Socialdemokraterne;1,1993394146;0.433484540316708;0.277829890240504;0.252376656437692;0.59297423136828
996;20150314;Kvinde;80;70++ år;Hovedstaden;103;arbejdsløshed;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(Ø) Enhedslisten;;Grundskole;Ingen;200.000-299.999 kr.;Enhedslisten;1,7609510953;0.34509783671649;0.336170512568711;0.252237833283282;0.275945917876705
